SampleID,sequencing_well,batch,project,field,sample_name,fk_num,sampling_method,gps_latitude,gps_longitude,field_length,field_width,field_diag,sample_ms,transect_length ,transect_width,transect_diag,sample_x,sample_y,"x,y",x_ms,y_ms,collection_day,collection_month,collection_year,year_start,date,days,crop_rotation_primary_y0,crop_rotation_companion_y0,crop_rotation_primary_y1,crop_rotation_companion_y1,crop_rotation_primary_y2,crop_rotation_companion_y2,crop_rotation_primary_y3,crop_rotation_companion_y3,crop_rotation_primary_y4,crop_rotation_companion_y4,crop_rotation_primary_y5,crop_rotation_companion_y5,wheat_cultivar,take_all_seen,take_all_evidence,take_all_time,fertiliser_use,fertiliser_use_nitrogen,fertiliser_use_phosphous,fertiliser_use_potassium,fertiliser_use_micronutrients,fertiliser_use_other,fertiliser_application_rate_monthly,fertiliser_application_rate_every_six_months,fertiliser_application_rate_yearly,fertiliser_application_rate_every_two_years,fertiliser_application_rate_every_other,manure_use,manure_application_rate_monthly,manure_application_rate_every_six_months,manure_application_rate_yearly,manure_application_rate_every_two_years,manure_application_rate_other,pesticides__insecticides_use,fungicides_use,herbicides_use,tillage,tillage_method,soil_texture,fertility,soil_ph,available_p,available_k,available_mg,available_na,available_ca,extractable_cu,extractable_zn,extractable_mn,extractable_fe,extractable_so4,extractable_mo,extractable_co,ECEC,h_TN,h_TC,moisture_content,dh_TN,dh_TC
1_demultiplex.bc1005--bc1033.hifi_reads,A1,1,sample,4QG.01,4QG.01.01,NA,NA,51.261,-0.352722,188.39,65.07,197.77,15,180.36,60.14,150,1,1,"1,1",,,28,8,2024,01/01/2024,28/08/2024,240,unknown,NA,unknown,NA,unknown,NA,unknown,NA,unknown,NA,NA,NA,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,NA,unknown,unknown,NA,NA,NA,unknown,NA,unknown,unknown,unknown,unknown,unknown,Loamy,high,7.9,18.8,115,45,13,2827.9,3.3,16.2,222,109,42.4,0,1,19.4,0.259,4.74,2.89,0.267,4.88
1_demultiplex.bc1005--bc1035.hifi_reads,A2,1,sample,4QG.01,4QG.01.09,NA,NA,51.261,-0.352722,188.39,65.07,197.77,15,180.36,60.14,150,9,9,"9,9",,,28,8,2024,01/01/2024,28/08/2024,240,unknown,NA,unknown,NA,unknown,NA,unknown,NA,unknown,NA,NA,NA,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,NA,unknown,unknown,NA,NA,NA,unknown,NA,unknown,unknown,unknown,unknown,unknown,Loamy,high,7.9,18.8,115,45,13,2827.9,3.3,16.2,222,109,42.4,0,1,19.4,0.259,4.74,2.89,0.267,4.88
1_demultiplex.bc1005--bc1044.hifi_reads,A3,1,sample,4QG.01,4QG.01.17,NA,NA,51.261,-0.352722,188.39,65.07,197.77,15,180.36,60.14,150,7,4,"7,4",,,28,8,2024,01/01/2024,28/04/2024,118,unknown,NA,unknown,NA,unknown,NA,unknown,NA,unknown,NA,NA,NA,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,NA,unknown,unknown,NA,NA,NA,unknown,NA,unknown,unknown,unknown,unknown,unknown,Loamy,high,7.9,18.8,115,45,13,2827.9,3.3,16.2,222,109,42.4,0,1,19.4,0.259,4.74,2.89,0.267,4.88
1_demultiplex.bc1005--bc1045.hifi_reads,A4,1,sample,8JF.01,8JF.01.04,NA,NA,53.829639,-0.534361,493.79,346.63,555.21,55,463.54,327.67,550,4,4,"4,4",,,5,8,2024,01/01/2024,08/05/2024,217,winter_wheat,NA,oilseed_rape,NA,winter_wheat,NA,winter_wheat,NA,oilseed_rape,NA,NA,NA,Common wheat/bread wheat,Yes,"Black lesions on roots,Reduced yields",Five years or more,Yes,Yes,Yes,Yes,Yes,Magnesium,No,No,No,NA,Variable,No,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Tillage,Loamy,lime-rich,7.8,16.8,197,107,14.9,3328.6,5.9,6.6,179.7,177.7,51.4,0,1.1,23.7,0.251,2.99,3.12,0.259,3.08
1_demultiplex.bc1005--bc1054.hifi_reads,A5,1,sample,8JF.01,8JF.01.12,NA,NA,53.829639,-0.534361,493.79,346.63,555.21,55,463.54,327.67,550,2,9,"2,2",,,5,8,2024,01/01/2024,08/05/2024,217,winter_wheat,NA,oilseed_rape,NA,winter_wheat,NA,winter_wheat,NA,oilseed_rape,NA,NA,NA,Common wheat/bread wheat,Yes,"Black lesions on roots,Reduced yields",Five years or more,Yes,Yes,Yes,Yes,Yes,Magnesium,No,No,No,NA,Variable,No,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Tillage,Loamy,lime-rich,7.8,16.8,197,107,14.9,3328.6,5.9,6.6,179.7,177.7,51.4,0,1.1,23.7,0.251,2.99,3.12,0.259,3.08
1_demultiplex.bc1005--bc1056.hifi_reads,A6,1,sample,8JF.01,8JF.01.20,NA,NA,53.829639,-0.534361,493.79,346.63,555.21,55,463.54,327.67,550,10,1,"10,10",,,5,8,2024,01/01/2024,08/05/2024,217,winter_wheat,NA,oilseed_rape,NA,winter_wheat,NA,winter_wheat,NA,oilseed_rape,NA,NA,NA,Common wheat/bread wheat,Yes,"Black lesions on roots,Reduced yields",Five years or more,Yes,Yes,Yes,Yes,Yes,Magnesium,No,No,No,NA,Variable,No,NA,NA,NA,NA,NA,Yes,Yes,Yes,Yes,Tillage,Loamy,lime-rich,7.8,16.8,197,107,14.9,3328.6,5.9,6.6,179.7,177.7,51.4,0,1.1,23.7,0.251,2.99,3.12,0.259,3.08
1_demultiplex.bc1005--bc1057.hifi_reads,A7,1,sample,5RJ.01,5RJ.01.07,NA,NA,53.217778,-0.16375,637.68,260.95,676.91,65,585.58,232.38,650,7,7,"7,7",,,6,8,2024,01/01/2024,08/06/2024,218,group_1,NA,combining_peas,NA,group_2,NA,maize_forage,NA,spring_malting_barley,NA,NA,NA,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Tillage,Loamy and clayey,moderate,8,15,239,43,10.8,2496.4,3.5,4.6,61.7,92.2,35.9,0,0.3,17.6,0.14,3.69,1.95,0.142,3.76
1_demultiplex.bc1005--bc1059.hifi_reads,A8,1,sample,5RJ.01,5RJ.01.15,NA,NA,53.217778,-0.16375,637.68,260.95,676.91,65,585.58,232.38,650,5,6,"5,6",,,6,8,2024,01/01/2024,08/06/2024,218,group_1,NA,combining_peas,NA,group_2,NA,maize_forage,NA,spring_malting_barley,NA,NA,NA,Crusoe; extase,No,N/A,not_seen,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,NA,NA,Yes,NA,NA,NA,Yes,NA,Yes,Yes,Yes,Yes,Tillage,Loamy and clayey,moderate,8,15,239,43,10.8,2496.4,3.5,4.6,61.7,92.2,35.9,0,0.3,17.6,0.14,3.69,1.95,0.142,3.76
1_demultiplex.bc1005--bc1060.hifi_reads,A9,1,sample,2JJ.01,2JJ.01.02,NA,NA,53.606472,-1.497083,517.5,224.37,583.16,55,501.89,191.19,550,2,2,"2,2",,,8,8,2024,01/01/2024,08/08/2024,220,winter_wheat,NA,OSR,NA,wheat,NA,wheat,NA,OSR,NA,NA,NA,NA,No,N/A,not_seen,not_reported,Yes,No,No,Yes,No,No,No,250 kg/ha,NA,"Nitogen 3 times in the Spring (March, April, May)",NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,No,No tillage,Loamy and clayey,low,6.4,14.4,139,155,12.6,1462.9,5.2,7.2,73.3,242,52.1,0,0.5,14,0.217,2.87,1.96,0.221,2.92
1_demultiplex.bc1005--bc1062.hifi_reads,A10,1,sample,2JJ.01,2JJ.01.10,NA,NA,53.606472,-1.497083,517.5,224.37,583.16,55,501.89,191.19,550,10,10,"10,10",,,8,8,2024,01/01/2024,08/08/2024,220,winter_wheat,NA,OSR,NA,wheat,NA,wheat,NA,OSR,NA,NA,NA,NA,No,N/A,not_seen,not_reported,Yes,No,No,Yes,No,No,No,250 kg/ha,NA,"Nitogen 3 times in the Spring (March, April, May)",NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,No,No tillage,Loamy and clayey,low,6.4,14.4,139,155,12.6,1462.9,5.2,7.2,73.3,242,52.1,0,0.5,14,0.217,2.87,1.96,0.221,2.92
